debate_id,betting_model,experiment_type,side,topic,opening_bet,rebuttal_bet,closing_bet
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6214,claude-3.7-sonnet,multi_round,opposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",55.0,45,65.0
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6214,claude-3.7-sonnet,multi_round,opposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",,55,
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6214,claude-3.7-sonnet,multi_round,proposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",55.0,60,55.0
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6214,claude-3.7-sonnet,multi_round,proposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",,60,
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6604,claude-3.7-sonnet,multi_round,opposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,45.0,25,60.0
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6604,claude-3.7-sonnet,multi_round,opposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,,30,
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6604,claude-3.7-sonnet,multi_round,proposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,30.0,60,60.0
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6604,claude-3.7-sonnet,multi_round,proposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,,55,
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6818,claude-3.7-sonnet,multi_round,opposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,55.0,60,65.0
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6818,claude-3.7-sonnet,multi_round,opposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,,40,
